name,label,inputs,outputs,steps,category,icon_key,extraction,farming,hunting,crafting,labour,transport,resource_group,resource_short,food_satiation,food_walk_speed,food_work_efficiency,food_hunger_rate,food_edible
roasted_turnips,Roasted turnips,turnip:2,roasted_turnips:1,1,grill,turnip,,,,,,,food,r.trn,2.5,1.0,1.0,1.0,
grilled_mushrooms,Grilled mushrooms,mushrooms:2,grilled_mushrooms:1,1,grill,grilled_mushrooms,,,,,,,food,g.msh,2.5,1.0,1.0,1.0,
grilled_fish,Grilled fish,fish:1,grilled_fish:1,2,grill,grilled_fish,,,,,,,food,g.fh,2.5,1.0,1.0,0.9,
grilled_meat,Grilled meat,meat:1,grilled_meat:1,2,grill,meat_marker,,,,,,,food,g.mt,2.5,1.0,1.0,0.9,
barley_gruel,Barley gruel,barley:2,barley_gruel:1,2,porridge,bread,,,,,,,food,b.gru,2.5,1.0,1.0,0.9,
wheat_porridge,Wheat porridge,wheat:2,wheat_porridge:1,2,porridge,bread,,,,,,,food,w.por,3.0,1.0,1.0,0.9,
root_soup,Root soup,turnip:2;cabbage:1,root_soup:1,2,stews,vegetable_soup,,,,,,,food,r.sp,3.5,1.0,1.0,0.9,
pea_s,Pea Soup,peas:2;mint:1,pea_soup:1,2,stews,vegetable_soup,,,,,,,food,p.sp,3.0,1.0,1.1,0.9,
rye_porridge,Rye porridge,rye:2,rye_porridge:1,,porridge,bread,,,,,,,food,r.por,3.0,1.0,1.0,0.8,
vegetable_pottage,Vegetable pottage,barley:1;cabbage:1;turnip:1,vegetable_pottage:1,,porridge,vegetable_soup,,,,,,,food,v.pot,4.0,1.0,1.0,0.8,
pease_pottage,Pease pottage,barley:1;peas:2;cabbage:1,pease_pottage:1,,porridge,vegetable_soup,,,,,,,food,p.pot,4.5,1.0,1.1,0.8,
mushroom_pottage,Mushroom pottage,rye:1;mushrooms:2;turnip:1,mushroom_pottage:1,,porridge,mushroom_stew,,,,,,,food,m.pot,4.0,1.1,1.0,0.9,
berry_porridge,Berry porridge,wheat:1;blackberries:2,berry_porridge:1,,porridge,berry_jam,,,,,,,food,b.por,3.0,1.25,1.0,0.9,
