name,label,inputs,outputs,steps,category,icon_key,extraction,farming,hunting,crafting,labour,transport,resource_group,resource_short,food_satiation,food_walk_speed,food_work_efficiency,food_hunger_rate,food_edible
nettle_soup,Nettle Soup,nettles:2;garlic:1,nettle_soup:1,,stews,vegetable_soup,,,,,,,food,n.sp,3.0,1.0,1.1,0.9,
pea_soup,Pea Soup,peas:2;mint:1,pea_soup:1,,stews,vegetable_soup,,,,,,,food,p.sp,3.0,1.0,1.1,0.9,
potato_soup,Potato Soup,potato:2;onion:1,potato_soup:1,,stews,vegetable_soup,,,,,,,food,po.sp,3.5,1.0,1.0,0.9,
bean_stew,Bean Stew,beans:2;thyme:1,bean_stew:1,,stews,vegetable_soup,,,,,,,food,b.stw,3.5,1.0,1.1,0.9,
pumpkin_soup,Pumpkin Soup,pumpkin:2;sage:1,pumpkin_soup:1,,stews,vegetable_soup,,,,,,,food,pu.sp,3.5,1.0,1.0,0.9,
mushroom_stew,Mushroom Soup,mushrooms:2;thyme:1,mushroom_stew:1,,stews,,,,,,,,food,m.stw,3.5,1.1,1.0,0.9,
leek_and_potato_soup,Leek and Potato Soup,leek:1;potato:1,leek_and_potato_soup:1,,stews,vegetable_soup,,,,,,,food,lp.sp,3.5,1.0,1.0,0.9,
kale_soup,Kale Soup,kale:2;potato:1,kale_soup:1,,stews,vegetable_soup,,,,,,,food,k.sp,3.5,1.0,1.0,0.9,
pea_and_ham_soup,Pea and Ham Soup,peas:2;meat:1;leek:1,pea_and_ham_soup:1,3,stews,stew,,,,,,,food,ph.sp,4.5,1.0,1.1,0.8,
stew,Meat Stew,meat:1;onion:1;carrot:1,stew:1,3,stews,stew,,,,,,,food,stew,5.0,1.0,1.1,0.75,
fish_stew,Fish Soup,fish:1;garlic:1;thyme:1,fish_stew:1,3,stews,,,,,,,,food,f.stw,4.0,1.0,1.1,0.9,
root_soup,Root Soup,turnip:1;carrot:1;onion:1;garlic:1,root_soup:1,3,stews,vegetable_soup,,,,,,,food,r.sp,4.5,1.0,1.0,0.8,
vegetable_soup,Green Soup,kale:1;cabbage:1;garlic:1;leek:1,vegetable_soup:1,3,stews,vegetable_soup,,,,,,,food,v.sp,4.5,1.0,1.0,0.8,
mushroom_pie,Mushroom Pie,mushrooms:2;wheat_flour:1;onion:1;thyme:1,mushroom_pie:1,4,bakery,,,,,,,,food,m.pie,4.5,1.1,1.0,0.85,
fish_pie,Fish Pie,fish:1;potato:1;peas:1;leek:1,fish_pie:1,4,bakery,,,,,,,,food,f.pie,5.0,1.0,1.1,0.8,
meat_pie,Meat Pie,meat:1;wheat_flour:1;onion:1;carrot:1,meat_pie:1,4,bakery,,,,,,,,food,mt.pie,5.0,1.0,1.1,0.75,
bread_wheat,Bread (wheat),wheat_flour:1,bread:1,,bakery,,,,,,,,food,bread,3.0,1.0,1.0,0.75,
bread_rye,Bread (rye),rye_flour:1,bread:1,,bakery,bread,,,,,,,food,bread,3.0,1.0,1.0,0.75,
blackberry_jam,Blackberry jam,blackberries:3;honey:1,berry_jam:2,,sweet,berry_jam,,,,,,,food,jam,2.0,1.5,1.0,0.9,
sloe_jam,Sloe jam,sloe_berries:3;honey:1,berry_jam:2,,sweet,berry_jam,,,,,,,food,jam,2.0,1.5,1.0,0.9,
elderberry_jam,Elderberry jam,elderberries:3;honey:1,berry_jam:2,,sweet,berry_jam,,,,,,,food,jam,2.0,1.5,1.0,0.9,
berry_tart,Berry tart,berry_jam:1;wheat_flour:1;honey:1,berry_tart:1,4,sweet,berry_tart,,,,,,,food,b.tart,3.5,1.5,1.0,0.9,
lebkuchen,Lebkuchen,honey:2;wheat_flour:1;spices:1,lebkuchen:2,4,sweet,lebkuchen,,,,,,,food,leb.k,2.0,1.5,1.1,0.8,
spiced_stew,Spiced stew,meat:1;cabbage:1;onion:1;spices:1,spiced_stew:1,4,stews,spiced_stew,,,,,,,food,s.stw,4.5,1.0,1.25,0.8,
honey_porridge,Honey porridge,barley:2;honey:1,honey_porridge:1,,porridge,lebkuchen,,,,,,,food,h.por,3.5,1.25,1.0,0.8,
