name,label,inputs,outputs,steps,station,category,icon_key,extraction,farming,hunting,crafting,labour,transport,resource_group,resource_short,food_satiation,food_walk_speed,food_work_efficiency,food_hunger_rate,food_edible
roasted_turnips,Roasted turnips,turnip:2,roasted_turnips:1,1,fire,grill,turnip,,,,,,,food,r.trn,2.5,1.0,1.0,1.0,
grilled_mushrooms,Grilled mushrooms,mushrooms:2,grilled_mushrooms:1,1,fire,grill,grilled_mushrooms,,,,,,,food,g.msh,2.5,1.0,1.0,1.0,
grilled_fish,Grilled fish,fish:1,grilled_fish:1,2,fire,grill,grilled_fish,,,,,,,food,g.fh,2.5,1.0,1.0,0.9,
grilled_meat,Grilled meat,meat:1,grilled_meat:1,2,fire,grill,meat_marker,,,,,,,food,g.mt,2.5,1.0,1.0,0.9,
barley_gruel,Barley gruel,barley:2,barley_gruel:1,2,fire,porridge,bread,,,,,,,food,b.gru,2.5,1.0,1.0,0.9,
wheat_porridge,Wheat porridge,wheat:2,wheat_porridge:1,2,fire,porridge,bread,,,,,,,food,w.por,3.0,1.0,1.0,0.9,
root_soup,Root soup,turnip:2;cabbage:1,root_soup:1,2,fire,stews,vegetable_soup,,,,,,,food,r.sp,3.5,1.0,1.0,0.9,
pea_s,Pea Soup,peas:2;mint:1,pea_soup:1,2,fire,stews,vegetable_soup,,,,,,,food,p.sp,3.0,1.0,1.1,0.9,
rye_porridge,Rye porridge,rye:2,rye_porridge:1,,fire,porridge,bread,,,,,,,food,r.por,3.0,1.0,1.0,0.8,
vegetable_pottage,Vegetable pottage,barley:1;cabbage:1;turnip:1,vegetable_pottage:1,,fire,porridge,vegetable_soup,,,,,,,food,v.pot,4.0,1.0,1.0,0.8,
pease_pottage,Pease pottage,barley:1;peas:2;cabbage:1,pease_pottage:1,,fire,porridge,vegetable_soup,,,,,,,food,p.pot,4.5,1.0,1.1,0.8,
mushroom_pottage,Mushroom pottage,rye:1;mushrooms:2;turnip:1,mushroom_pottage:1,,fire,porridge,mushroom_stew,,,,,,,food,m.pot,4.0,1.1,1.0,0.9,
berry_porridge,Berry porridge,wheat:1;blackberries:2,berry_porridge:1,,fire,porridge,berry_jam,,,,,,,food,b.por,3.0,1.25,1.0,0.9,
bean_stew,Bean stew,beans:2;cabbage:1;sage:1,bean_stew:1,,kitchen,stews,vegetable_soup,,,,,,,food,b.stw,3.5,1.0,1.1,0.9,
mushroom_stew,Mushroom stew,mushrooms:2;turnip:1;sage:1,mushroom_stew:1,,kitchen,stews,mushroom_stew,,,,,,,food,m.stw,3.5,1.1,1.0,0.9,
fish_stew,Fish stew,fish:1;turnip:1;garlic:1,fish_stew:1,,kitchen,stews,fish_stew,,,,,,,food,f.stw,4.0,1.0,1.1,0.9,
vegetable_soup,Vegetable soup,cabbage:1;turnip:1;carrot:1;onion:1,vegetable_soup:1,,kitchen,stews,vegetable_soup,,,,,,,food,v.sp,4.5,1.0,1.0,0.8,
bread_wheat,Bread (wheat),wheat_flour:1,bread:1,,kitchen,bakery,bread,,,,,,,food,bread,3.0,1.0,1.0,0.75,
bread_rye,Bread (rye),rye_flour:1,bread:1,,kitchen,bakery,bread,,,,,,,food,bread,3.0,1.0,1.0,0.75,
stew,Stew,meat:1;cabbage:1;carrot:1;onion:1,stew:1,4,kitchen,stews,stew,,,,,,,food,stew,5.0,1.0,1.1,0.75,
blackberry_jam,Blackberry jam,blackberries:3;honey:1,berry_jam:2,,kitchen,sweet,berry_jam,,,,,,,food,jam,2.0,1.5,1.0,0.9,
sloe_jam,Sloe jam,sloe_berries:3;honey:1,berry_jam:2,,kitchen,sweet,berry_jam,,,,,,,food,jam,2.0,1.5,1.0,0.9,
elderberry_jam,Elderberry jam,elderberries:3;honey:1,berry_jam:2,,kitchen,sweet,berry_jam,,,,,,,food,jam,2.0,1.5,1.0,0.9,
berry_tart,Berry tart,berry_jam:1;wheat_flour:1;honey:1,berry_tart:1,4,kitchen,sweet,berry_tart,,,,,,,food,b.tart,3.5,1.5,1.0,0.9,
lebkuchen,Lebkuchen,honey:2;wheat_flour:1;spices:1,lebkuchen:2,4,kitchen,sweet,lebkuchen,,,,,,,food,leb.k,2.0,1.5,1.1,0.8,
spiced_stew,Spiced stew,meat:1;cabbage:1;onion:1;spices:1,spiced_stew:1,4,kitchen,stews,spiced_stew,,,,,,,food,s.stw,4.5,1.0,1.25,0.8,
honey_porridge,Honey porridge,barley:2;honey:1,honey_porridge:1,,kitchen,porridge,lebkuchen,,,,,,,food,h.por,3.5,1.25,1.0,0.8,
