name,label,inputs,outputs,steps,station,category,icon_key,extraction,farming,hunting,crafting,labour,transport,resource_group,resource_short,food_satiation,food_walk_speed,food_work_efficiency,food_hunger_rate,food_edible
roasted_turnips,Roasted turnips,turnip:2,roasted_turnips:1,1,fire,grill,turnip,,,,,,,food,r.trn,2.5,1.0,1.0,1.0,
roasted_carrots,Roasted carrots,carrot:2,roasted_carrots:1,1,fire,grill,carrot,,,,,,,food,r.car,2.5,1.0,1.0,1.0,
grilled_mushrooms,Grilled mushrooms,mushrooms:2,grilled_mushrooms:1,1,fire,grill,grilled_mushrooms,,,,,,,food,g.msh,2.5,1.0,1.0,1.0,
grilled_fish,Grilled fish,fish:1,grilled_fish:1,2,fire,grill,grilled_fish,,,,,,,food,g.fh,2.5,1.0,1.0,0.9,
grilled_meat,Grilled meat,meat:1,grilled_meat:1,2,fire,grill,meat_marker,,,,,,,food,g.mt,2.5,1.0,1.0,0.9,
barley_gruel,Barley gruel,barley:2,barley_gruel:1,2,fire,porridge,porridge,,,,,,,food,b.gru,2.5,1.0,1.0,0.9,
wheat_porridge,Wheat porridge,wheat:2,wheat_porridge:1,2,fire,porridge,porridge,,,,,,,food,w.por,3.0,1.0,1.0,0.9,
rye_porridge,Rye porridge,rye:2,rye_porridge:1,2,fire,porridge,porridge,,,,,,,food,r.por,3.0,1.0,1.0,0.8,
nettle_soup,Nettle soup,nettles:2;garlic:1,nettle_soup:1,2,kitchen,stews,vegetable_soup,,,,,,,food,n.sp,3.0,1.0,1.0,0.9,
pea_soup,Pea soup,peas:2;mint:1,pea_soup:1,2,kitchen,stews,vegetable_soup,,,,,,,food,p.sp,3.0,1.0,1.1,0.9,
potato_soup,Potato soup,potato:2;onion:1,potato_soup:1,2,kitchen,stews,vegetable_soup,,,,,,,food,po.sp,3.5,1.0,1.0,0.9,
bean_stew,Bean stew,beans:2;thyme:1,bean_stew:1,2,kitchen,stews,vegetable_soup,,,,,,,food,b.stw,3.5,1.0,1.1,0.9,
pumpkin_soup,Pumpkin soup,pumpkin:2;sage:1,pumpkin_soup:1,2,kitchen,stews,vegetable_soup,,,,,,,food,pu.sp,3.5,1.0,1.0,0.9,
mushroom_soup,Mushroom soup,mushrooms:2;thyme:1,mushroom_soup:1,2,kitchen,stews,mushroom_stew,,,,,,,food,m.sp,3.5,1.1,1.0,0.9,
leek_potato_soup,Leek and potato soup,leek:1;potato:2,leek_potato_soup:1,2,kitchen,stews,vegetable_soup,,,,,,,food,l.p.sp,3.5,1.0,1.0,0.8,
kale_soup,Kale soup,kale:2;potato:1,kale_soup:1,2,kitchen,stews,vegetable_soup,,,,,,,food,k.sp,3.5,1.0,1.0,0.8,
pea_ham_soup,Pea and ham soup,peas:2;meat:1;leek:1,pea_ham_soup:1,3,kitchen,stews,stew,,,,,,,food,p.h.sp,4.5,1.0,1.1,0.8,
meat_stew,Meat stew,meat:1;onion:1;carrot:1,meat_stew:1,3,kitchen,stews,stew,,,,,,,food,m.stw,5.0,1.0,1.1,0.8,
fish_soup,Fish soup,fish:1;garlic:1;thyme:1,fish_soup:1,3,kitchen,stews,fish_stew,,,,,,,food,f.sp,4.5,1.0,1.1,0.8,
root_stew,Root stew,turnip:1;carrot:1;barley:1;onion:1,root_stew:1,3,kitchen,stews,vegetable_soup,,,,,,,food,r.stw,4.5,1.0,1.0,0.8,
souper_greens,Souper greens,cabbage:1;kale:1;garlic:1;leek:1,souper_greens:1,3,kitchen,stews,vegetable_soup,,,,,,,food,s.grns,4.5,1.0,1.1,0.8,
bread_wheat,Wheat Bread,wheat_flour:1,wheat_bread:1,3,kitchen,bakery,bread,,,,,,,food,bread,3.0,1.0,1.0,0.75,
bread_rye,Rye Bread,rye_flour:1,rye_bread:1,3,kitchen,bakery,bread,,,,,,,food,bread,3.0,1.0,1.0,0.75,
blackberry_jam,Blackberry jam,blackberries:3;honey:1,berry_jam:2,3,kitchen,sweet,berry_jam,,,,,,,food,jam,2.0,1.25,1.0,0.9,
sloe_jam,Sloe jam,sloe_berries:3;honey:1,berry_jam:2,3,kitchen,sweet,berry_jam,,,,,,,food,jam,2.0,1.25,1.0,0.9,
elderberry_jam,Elderberry jam,elderberries:3;honey:1,berry_jam:2,3,kitchen,sweet,berry_jam,,,,,,,food,jam,2.0,1.25,1.0,0.9,
mushroom_pie,Mushroom pie,mushrooms:2;wheat_flour:1;onion:1;thyme:1,mushroom_pie:1,4,kitchen,bakery,mushroom_stew,,,,,,,food,m.pie,5.0,1.0,1.25,0.8,
fish_pie,Fish pie,fish:1;potato:1;peas:1;leek:1,fish_pie:1,4,kitchen,bakery,fish_stew,,,,,,,food,f.pie,5.0,1.0,1.25,0.75,
meat_pie,Meat pie,meat:1;wheat_flour:1;onion:1;carrot:1,meat_pie:1,4,kitchen,bakery,stew,,,,,,,food,m.pie,5.0,1.0,1.25,0.75,
spiced_stew,Spiced stew,meat:1;cabbage:1;onion:1;spices:1,spiced_stew:1,4,kitchen,stews,spiced_stew,,,,,,,food,s.stw,5.0,1.0,1.25,0.8,
berry_tart,Berry tart,berry_jam:1;wheat_flour:1;honey:1,berry_tart:1,4,kitchen,sweet,berry_tart,,,,,,,food,b.tart,3.5,1.5,1.0,0.9,
lebkuchen,Lebkuchen,honey:2;wheat_flour:1;spices:1,lebkuchen:2,4,kitchen,sweet,lebkuchen,,,,,,,food,leb.k,2.0,1.5,1.1,0.8,
