key,label,group,short,icon_key,usage,stack_size,tool_effectiveness,tool_targets
roasted_turnips,Roasted turnips,food,r.trn,turnip,resource,1,1.0,
roasted_carrots,Roasted carrots,food,r.car,carrot,resource,1,1.0,
grilled_mushrooms,Grilled mushrooms,food,g.msh,mushroom,resource,1,1.0,
grilled_fish,Grilled fish,food,g.fh,grilled_fish,resource,1,1.0,
grilled_meat,Grilled meat,food,g.mt,meat_marker,resource,1,1.0,
barley_gruel,Barley gruel,food,b.gru,porridge,resource,1,1.0,
wheat_porridge,Wheat porridge,food,w.por,porridge,resource,1,1.0,
rye_porridge,Rye porridge,food,r.por,porridge,resource,1,1.0,
nettle_soup,Nettle soup,food,n.sp,vegetable_soup,resource,1,1.0,
pea_soup,Pea soup,food,p.sp,vegetable_soup,resource,1,1.0,
potato_soup,Potato soup,food,po.sp,vegetable_soup,resource,1,1.0,
bean_stew,Bean stew,food,b.stw,vegetable_soup,resource,1,1.0,
pumpkin_soup,Pumpkin soup,food,pu.sp,vegetable_soup,resource,1,1.0,
mushroom_soup,Mushroom soup,food,m.sp,mushroom_stew,resource,1,1.0,
leek_potato_soup,Leek and potato soup,food,l.p.sp,vegetable_soup,resource,1,1.0,
kale_soup,Kale soup,food,k.sp,vegetable_soup,resource,1,1.0,
pea_ham_soup,Pea and ham soup,food,p.h.sp,stew,resource,1,1.0,
meat_stew,Meat stew,food,m.stw,stew,resource,1,1.0,
fish_soup,Fish soup,food,f.sp,fish_stew,resource,1,1.0,
root_stew,Root stew,food,r.stw,vegetable_soup,resource,1,1.0,
souper_greens,Souper greens,food,s.grns,vegetable_soup,resource,1,1.0,
wheat_bread,Wheat bread,food,w.brd,bread,resource,1,1.0,
rye_bread,Rye bread,food,r.brd,bread,resource,1,1.0,
berry_jam,Berry jam,food,jam,berry_jam,resource,1,1.0,
mushroom_pie,Mushroom pie,food,m.pie,mushroom_stew,resource,1,1.0,
fish_pie,Fish pie,food,f.pie,fish_stew,resource,1,1.0,
meat_pie,Meat pie,food,m.pie,stew,resource,1,1.0,
spiced_stew,Spiced stew,food,s.stw,spiced_stew,resource,1,1.0,
berry_tart,Berry tart,food,b.tart,berry_tart,resource,1,1.0,
lebkuchen,Lebkuchen,food,leb.k,lebkuchen,resource,1,1.0,
