template_id,name,tier,housing_need,required_foods,favourite_foods,favourite_is_junk,virtues,vices,extraction,farming,hunting,crafting,labour,transport,extraction_cap,farming_cap,hunting_cap,crafting_cap,labour_cap,transport_cap,required_workplace,signing_fee
t2_pia_fern_001,Pia Fern,2,1,t1;t2,meat_stew,0,Steady,Moody,3,4,3,5,5,4,7,8,7,5,7,4,farm,2
t1_york_ford_002,York Ford,1,1,t1,meat_stew,1,Curious,Nervous,1,2,3,2,1,3,5,5,5,2,3,3,,0
t1_kade_heath_003,Kade Heath,1,1,t1,grilled_fish,0,Diligent,Greedy,5,3,2,1,1,4,6,5,4,3,4,5,,1
t3_quin_woods_004,Quin Woods,3,2,t1;t2;t3,mushroom_soup,0,Diligent;Kind,Stubborn;Restless,6,4,6,3,3,6,8,5,6,10,5,10,,6
t2_noah_springs_005,Noah Springs,2,2,t1;t2,fish_soup,0,Cheerful,Picky;Glutton,4,3,3,3,2,3,7,6,6,7,5,4,forester,2
t2_giles_reed_006,Giles Reed,2,1,t1;t2,spiced_stew,0,Patient;Hardy,Lazy,5,3,5,5,5,3,5,4,7,6,5,5,,3
t1_elsie_ford_007,Elsie Ford,1,1,t1,honey,0,Patient,Moody,1,3,2,5,2,2,2,3,4,5,5,5,,1
t1_cade_ridge_008,Cade Ridge,1,1,t1,,0,Hardy,Lazy,2,2,2,2,5,1,3,5,5,4,5,5,,0
t1_york_quarry_009,York Quarry,1,1,t1,grilled_meat,0,Patient,,1,4,5,4,4,2,3,4,6,5,5,3,,0
t3_dell_stone_010,Dell Stone,3,3,t1;t2;t3,wheat_bread,0,Hardy,,3,4,3,4,4,4,10,4,9,7,9,8,mason,6
t2_reed_lake_011,Reed Lake,2,2,t1;t2,spiced_stew,1,Diligent;Curious,Picky;Stubborn,2,7,2,3,4,4,3,8,3,7,5,4,farm,3
t1_oona_oaks_012,Oona Oaks,1,1,t1,blackberries,0,Loyal,,1,3,1,3,4,2,3,3,3,4,5,4,,0
t1_pax_ridge_013,Pax Ridge,1,1,t1,,0,Curious,Greedy,4,1,3,1,2,2,5,2,4,4,5,2,,0
t3_nell_knoll_014,Nell Knoll,3,3,t1;t2;t3,mushroom_soup,0,Curious,Greedy;Lazy,4,4,3,5,4,5,10,7,5,8,6,10,,8
t1_orin_lake_015,Orin Lake,1,1,t1,spiced_stew,1,Patient,Stubborn,3,1,3,4,3,3,4,4,5,5,3,3,,1
t1_vance_oaks_016,Vance Oaks,1,1,t1,souper_greens,0,Steady,,4,1,1,3,1,3,5,5,3,4,4,5,,0
t2_alder_loch_017,Alder Loch,2,2,t1;t2,blackberries,0,Patient,Greedy;Restless,4,2,4,5,4,6,7,5,5,7,7,7,craft_bench,2
t2_tess_creek_018,Tess Creek,2,1,t1;t2,mushroom_soup,0,Cheerful;Steady,,3,3,3,3,5,2,5,4,3,5,7,6,,3
t2_alder_fern_019,Alder Fern,2,2,t1;t2,mushroom_soup,0,Cheerful,Greedy,5,3,5,6,4,5,5,3,5,8,7,7,craft_bench,4
t2_reed_north_020,Reed North,2,2,t1;t2,mushroom_soup,0,Kind;Curious,Lazy;Picky,6,4,4,3,3,3,6,6,4,4,6,4,,2
t1_dell_lake_021,Dell Lake,1,1,t1,souper_greens,0,Steady,Restless,4,2,2,4,1,5,5,5,4,5,5,6,,0
t2_oona_field_022,Oona Field,2,2,t1;t2,souper_greens,0,Cheerful,Nervous,3,4,5,5,4,4,3,7,6,6,7,7,,4
t2_orin_haven_023,Orin Haven,2,1,t1;t2,mushroom_soup,0,Hardy,,3,4,3,2,3,4,3,5,6,7,6,6,farm,2
t2_gwen_bay_024,Gwen Bay,2,1,t1;t2,fish_soup,0,Steady;Curious,Lazy,6,2,5,4,4,5,6,5,7,4,4,6,,3
t3_cade_thorn_025,Cade Thorn,3,2,t1;t2;t3,mushroom_soup,0,Kind;Patient,Picky;Stubborn,4,3,7,6,6,3,10,6,8,10,8,7,hunter,7
t2_wren_marsh_026,Wren Marsh,2,2,t1;t2,fish_soup,0,Patient,Nervous;Restless,3,5,2,4,5,5,6,6,3,5,7,6,,2
t2_willa_field_027,Willa Field,2,2,t1;t2,spiced_stew,0,Loyal;Diligent,Picky,2,3,4,4,2,4,7,4,7,6,4,5,hunter,3
t1_cora_stone_028,Cora Stone,1,1,t1,fish_soup,0,Kind,Restless,5,4,2,3,1,4,6,5,2,4,2,5,,0
t1_pia_hill_029,Pia Hill,1,1,t1,souper_greens,0,Steady,Restless,4,1,2,3,2,2,5,2,3,5,4,3,,0
t1_tara_dale_030,Tara Dale,1,1,t1,fish_soup,0,Patient,Nervous,2,3,2,1,2,2,4,5,5,3,4,2,,0
t2_holt_springs_031,Holt Springs,2,2,t1;t2,souper_greens,0,Kind;Patient,Stubborn,4,2,3,2,2,7,6,3,7,5,4,8,forester,4
t3_pax_pine_032,Pax Pine,3,3,t1;t2;t3,meat_stew,0,Curious;Diligent,Picky,8,5,6,3,3,5,10,10,10,7,6,7,mason,6
t3_bea_stone_033,Bea Stone,3,3,t1;t2;t3,blackberries,0,Kind;Curious,Moody,5,4,6,3,5,4,9,6,9,4,10,6,hunter,7
