module,source_lines,executable_lines,startup_load_lines,gameplay_lines,observed_lines,observed_percent,functions,functions_entered
__init__.py,1,0,0,0,0,0.0,0,0
action_choice_dialog.py,156,123,33,3,36,29.3,8,3
assess_town_stability.py,504,375,0,0,0,0.0,11,0
assign_picker_dialog.py,472,376,98,1,99,26.3,18,3
balance_config.py,1688,1262,1232,5,1232,97.6,17,14
balance_dialog.py,457,359,61,3,64,17.8,21,3
berry_bushes.py,88,57,19,15,34,59.6,8,4
bug_log.py,559,445,63,0,63,14.2,20,1
bug_log_report.py,112,86,0,0,0,0.0,3,0
building_inspect_dialog.py,2562,1983,165,1,166,8.4,40,3
building_unlock.py,180,137,106,20,116,84.7,6,3
calendar_system.py,143,107,50,15,65,60.7,9,5
camera.py,169,118,45,18,60,50.8,15,9
crop_status_ui.py,346,276,25,0,25,9.1,10,0
crops.py,574,447,389,20,408,91.3,18,8
developer_tools/__init__.py,12,7,5,0,5,71.4,1,1
developer_tools/authoring_ui.py,1258,1164,0,0,0,0.0,77,0
developer_tools/content_io.py,114,90,31,0,31,34.4,5,1
developer_tools/content_lab.py,410,355,0,0,0,0.0,31,0
developer_tools/controller.py,218,202,0,0,0,0.0,8,0
developer_tools/crop_editor.py,149,120,86,0,86,71.7,17,7
developer_tools/editor_state.py,80,65,0,0,0,0.0,7,0
developer_tools/editors.py,383,322,0,0,0,0.0,38,0
developer_tools/icons_browser.py,117,102,0,0,0,0.0,5,0
developer_tools/landscape_fields_lab.py,699,573,0,0,0,0.0,21,0
developer_tools/objects_editor.py,155,127,56,0,56,44.1,11,3
developer_tools/plant_editor.py,208,177,133,0,133,75.1,22,11
developer_tools/references.py,48,39,0,0,0,0.0,2,0
developer_tools/reload.py,187,139,30,0,30,21.6,7,0
developer_tools/resources_browser.py,101,91,0,0,0,0.0,9,0
developer_tools/sounds_editor.py,121,117,0,0,0,0.0,10,0
developer_tools/terrain_editor.py,280,195,94,0,94,48.2,23,8
developer_tools/validation.py,264,233,44,0,44,18.9,12,3
developer_tools/widgets.py,382,326,0,0,0,0.0,29,0
developer_tools/wild_species_editor.py,186,159,110,0,110,69.2,16,6
diagnose_villagers.py,337,252,0,0,0,0.0,8,0
dialogs.py,310,250,43,3,46,18.4,21,3
entities.py,4893,3781,1405,1249,2496,66.0,313,165
environment.py,715,517,222,7,229,44.3,37,11
export_icons_png.py,111,71,0,0,0,0.0,2,0
extensions.py,172,127,85,5,89,70.1,10,5
farm_pipeline.py,104,70,38,12,50,71.4,6,2
field_fertility_tint.py,31,27,0,27,27,100.0,2,2
field_handbook.py,45,2,2,0,2,100.0,0,0
